ID,Sesion,Nivel,Intento,Fecha,Tiempo,Evento
10,1,1,4,2025-11-06,15:13:07.540,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:07.706,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:07.839,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:08.006,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:08.172,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:08.339,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:08.506,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:08.639,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:08.773,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:08.939,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:09.106,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:09.306,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:09.506,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:09.706,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:09.900,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:10.067,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:10.267,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:10.467,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:10.634,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:10.800,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:10.967,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:11.133,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:11.300,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:11.501,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:11.667,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:11.833,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:12.100,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:12.101,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:12.233,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:12.433,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:12.633,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:12.833,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:13.334,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:13.534,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:13.700,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:13.867,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:14.067,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:14.233,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:14.400,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:14.567,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:14.733,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:14.867,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:15.033,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:15.200,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:15.372,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:15.572,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:15.739,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:15.905,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:16.072,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:16.272,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:16.439,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:16.639,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:16.805,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:17.005,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:17.172,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:17.372,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:17.539,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:17.705,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:17.905,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:18.072,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:18.272,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:18.439,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:18.639,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:18.839,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:19.005,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:19.172,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:19.372,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:19.505,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:19.739,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:19.872,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:20.039,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:20.205,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:20.339,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:20.905,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:21.072,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:21.172,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:21.305,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:21.472,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:21.605,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:21.838,Ubicacion enviada
